id,Amount Due,Closed,Currency,Customer,Date (UTC),Due Date (UTC),Ending Balance,Forgiven,Paid,Paid At (UTC),Marked Uncollectible At (UTC),Voided At (UTC),Finalized At (UTC),Minimum Line Item Period Start (UTC),Maximum Line Item Period End (UTC),Period Start (UTC),Period End (UTC),Starting Balance,Subscription,Subtotal,Total Discount Amount,Applied Coupons,Tax,Tax Percent,Total,Amount Paid,Status,Exclusive Tax Amount,Inclusive Tax Amount
in_1Qx3LRAFeGZf0UoOLiGCYdH9,"39,00",FALSE,eur,cus_QUwwBv04HUZBRH,2025-02-27 9:25,,,FALSE,FALSE,,,,,2025-02-27 9:25,2025-03-27 9:25,2025-01-27 9:25,2025-02-27 9:25,"0,00",sub_1Q3aQIAFeGZf0UoOuKgqgG5j,"39,00","0,00",,,,"39,00","0,00",draft,,
in_1Qx3KKAFeGZf0UoOFD0BkuZq,"210,00",FALSE,eur,cus_LnQvoelnoWpDRg,2025-02-27 9:24,,,FALSE,FALSE,,,,,2025-02-27 9:23,2025-03-27 9:23,2025-01-27 9:23,2025-02-27 9:23,"0,00",sub_1Lma19AFeGZf0UoOeDmEX8n2,"175,00","0,00",,"35,00",20,"210,00","0,00",draft,"35,00","0,00"
in_1Qx3GTAFeGZf0UoOF2It06yR,"46,41",FALSE,usd,cus_L8DNlwC336Otn3,2025-02-27 9:20,,,FALSE,FALSE,,,,,2025-02-27 9:19,2025-03-27 9:19,2025-01-27 9:19,2025-02-27 9:19,"0,00",sub_1NNY3rAFeGZf0UoO6lfAhpbI,"39,00","0,00",,"7,41",19,"46,41","0,00",draft,"7,41","0,00"
in_1Qx36jAFeGZf0UoOX3nxfcyZ,"245,00",FALSE,eur,cus_NGQgVRHGQ8bEbD,2025-02-27 9:10,,,FALSE,FALSE,,,,,2025-02-27 9:09,2025-03-27 9:09,2025-01-27 9:09,2025-02-27 9:09,"0,00",sub_1NNXuIAFeGZf0UoObRBQzpnp,"245,00","0,00",,,,"245,00","0,00",draft,,
in_1Qx34BAFeGZf0UoO3bFwn2Ep,"79,00",TRUE,eur,cus_RqkWyeRj08XoIe,2025-02-27 9:07,,"0,00",FALSE,TRUE,2025-02-27 9:07,,,2025-02-27 9:07,2025-02-27 9:07,2025-03-27 9:07,2025-02-27 9:07,2025-02-27 9:07,"0,00",sub_1Qx34BAFeGZf0UoO49PQRDQJ,"79,00","0,00",,,,"79,00","79,00",paid,,
in_1Qx2naAFeGZf0UoOntja2MyS,"0,00",TRUE,eur,cus_MSZFKXkR2NcFTz,2025-02-27 8:50,,"-3,28",FALSE,TRUE,2025-02-27 9:51,,,2025-02-27 9:51,2025-02-27 8:50,2025-03-27 8:50,2025-01-27 8:50,2025-02-27 8:50,"-3,28",sub_1LmZUPAFeGZf0UoOm0LiLv2H,"0,00","0,00",,,,"0,00","0,00",paid,,
in_1Qx2nDAFeGZf0UoOyWfRYFq0,"0,00",TRUE,eur,cus_LUG8ikKfgdKUIU,2025-02-27 8:50,,"-11,37",FALSE,TRUE,2025-02-27 9:50,,,2025-02-27 9:50,2025-02-27 8:49,2025-03-27 8:49,2025-01-27 8:49,2025-02-27 8:49,"-11,37",sub_1Kt6YbAFeGZf0UoOW6uZvnpv,"0,00","0,00",,,,"0,00","0,00",paid,,
in_1Qx2lFAFeGZf0UoOExja25cO,"0,00",TRUE,eur,cus_NW8tFjWstVPkxV,2025-02-27 8:48,,"-0,91",FALSE,TRUE,2025-02-27 9:48,,,2025-02-27 9:48,2025-02-27 8:47,2025-03-27 8:47,2025-01-27 8:47,2025-02-27 8:47,"-0,91",sub_1MqBhiAFeGZf0UoO1eWuwzqc,"0,00","0,00",,,27,"0,00","0,00",paid,,
in_1Qx2hmAFeGZf0UoOYD4eoPnB,"9,00",TRUE,usd,cus_PVdPFGa7V3RK3o,2025-02-27 8:44,2025-02-27 22:59,"0,00",FALSE,TRUE,2025-02-27 8:45,,,2025-02-27 8:45,2025-02-27 8:45,2025-02-27 8:45,2025-02-26 20:28,2025-03-26 20:28,"0,00",,"9,00","0,00",,,,"9,00","9,00",paid,,
in_1Qx2dwAFeGZf0UoOC9uPiamy,"0,00",TRUE,eur,cus_NHubVAT88oS91G,2025-02-27 8:40,,"-27,04",FALSE,TRUE,2025-02-27 9:41,,,2025-02-27 9:41,2025-02-27 8:40,2025-03-27 8:40,2025-01-27 8:40,2025-02-27 8:40,"-27,04",sub_1MqBbBAFeGZf0UoOoKlGUbD4,"0,00","0,00",,"0,00",21,"0,00","0,00",paid,"0,00","0,00"
in_1Qx2cRAFeGZf0UoOWwRhu96a,"0,00",TRUE,eur,cus_NEA6LChSAvTOEz,2025-02-27 8:38,,"-10,98",FALSE,TRUE,2025-02-27 9:39,,,2025-02-27 9:39,2025-02-27 8:38,2025-03-27 8:38,2025-01-27 8:38,2025-02-27 8:38,"-10,98",sub_1MUnRfAFeGZf0UoO4J7BWOih,"0,00","0,00",,,19,"0,00","0,00",paid,,
in_1Qx2agAFeGZf0UoOyVtJMLpD,"78,00",TRUE,eur,cus_RCjUJppc5HjYxp,2025-02-27 8:37,,"0,00",FALSE,TRUE,2025-02-27 9:37,,,2025-02-27 9:37,2025-02-27 8:37,2025-03-27 8:37,2025-01-27 8:37,2025-02-27 8:37,"0,00",sub_1QPgk5AFeGZf0UoOxOXXty0H,"78,00","0,00",,,,"78,00","78,00",paid,,
in_1Qx2MbAFeGZf0UoOVLLiVFdo,"37,58",TRUE,eur,cus_Q9RGZrmALQD6mO,2025-02-27 8:22,,"0,00",FALSE,TRUE,2025-02-27 8:22,,,2025-02-27 8:22,2025-02-27 8:22,2025-03-25 15:43,2025-02-25 15:43,2025-02-27 8:22,"0,00",sub_1Q2xMpAFeGZf0UoO4YfNGkQb,"37,58","0,00",,,,"37,58","37,58",paid,,
in_1Qx2FKAFeGZf0UoOzCrkKfKD,"0,00",TRUE,eur,cus_KzGLx0qkzpfgFp,2025-02-27 8:15,,"-13,62",FALSE,TRUE,2025-02-27 9:15,,,2025-02-27 9:15,2025-02-27 8:15,2025-03-27 8:15,2025-01-27 8:15,2025-02-27 8:15,"-13,62",sub_1KMT8GAFeGZf0UoOqI4khi41,"0,00","0,00",,"0,00",20,"0,00","0,00",paid,"0,00","0,00"
in_1Qx2EWAFeGZf0UoOe0QpXEW7,"39,00",TRUE,eur,cus_QHPXDpdldcazXs,2025-02-27 8:14,,"0,00",FALSE,TRUE,2025-02-27 9:14,,,2025-02-27 9:14,2025-02-27 8:13,2025-03-27 8:13,2025-01-27 8:13,2025-02-27 8:13,"0,00",sub_1PWDSfAFeGZf0UoOb1hwWjtJ,"39,00","0,00",,,,"39,00","39,00",paid,,
in_1Qx1uuAFeGZf0UoOWz3sV3lG,"0,00",TRUE,usd,cus_PdIoBe8ddpgvuC,2025-02-27 7:54,,"-31,86",FALSE,TRUE,2025-02-27 8:54,,,2025-02-27 8:54,2025-02-27 7:53,2025-03-27 7:53,2025-01-27 7:53,2025-02-27 7:53,"-31,86",sub_1OoLTtAFeGZf0UoO7CzbV2tn,"0,00","0,00",,,,"0,00","0,00",paid,,
in_1Qx1tHAFeGZf0UoOkffct6x4,"39,00",TRUE,usd,cus_QGgycuHzXgMLxh,2025-02-27 7:52,,"0,00",FALSE,TRUE,2025-02-27 7:52,,,2025-02-27 7:52,2025-02-27 7:52,2025-03-27 7:52,2025-02-27 7:52,2025-02-27 7:52,"0,00",sub_1Qx1tGAFeGZf0UoO9bJKwZZd,"39,00","0,00",,,,"39,00","39,00",paid,,
in_1Qx1pRAFeGZf0UoOXawHgA3a,"137,00",TRUE,usd,cus_PVdPFGa7V3RK3o,2025-02-27 7:48,2025-02-27 22:59,"0,00",TRUE,FALSE,,2025-02-27 8:44,,2025-02-27 7:48,2025-02-27 7:48,2025-02-27 7:48,2025-02-26 20:28,2025-03-26 20:28,"0,00",,"137,00","0,00",,,,"137,00","0,00",uncollectible,,
in_1Qx1p6AFeGZf0UoO3DlGJVfl,"94,80",TRUE,eur,cus_N6tCEoNrsBP0fC,2025-02-27 7:48,,"0,00",FALSE,TRUE,2025-02-27 8:48,,,2025-02-27 8:48,2025-02-27 7:47,2025-03-27 7:47,2025-01-27 7:47,2025-02-27 7:47,"0,00",sub_1MUmeOAFeGZf0UoO4dUpZtZa,"79,00","0,00",,"15,80",20,"94,80","94,80",paid,"15,80","0,00"
in_1Qx1a8AFeGZf0UoOTDiDG8jP,"35,00",TRUE,eur,cus_NK7D5CrBQwqJuJ,2025-02-27 7:32,,"0,00",FALSE,TRUE,2025-02-27 8:32,,,2025-02-27 8:32,2025-02-27 7:32,2025-03-27 7:32,2025-01-27 7:32,2025-02-27 7:32,"0,00",sub_1O5kWWAFeGZf0UoOXCzQhKtB,"35,00","0,00",,,25,"35,00","35,00",paid,,
in_1Qx1I2AFeGZf0UoOBZpbyT9M,"0,00",TRUE,eur,cus_NmgrohOyX1Xtqh,2025-02-27 7:13,,"-55,91",FALSE,TRUE,2025-02-27 8:14,,,2025-02-27 8:14,2025-02-27 7:13,2025-03-27 7:13,2025-01-27 7:13,2025-02-27 7:13,"-55,91",sub_1N1P0uAFeGZf0UoOHRkFpULD,"0,00","0,00",,,23,"0,00","0,00",paid,,
in_1Qx14nAFeGZf0UoOPFblIq58,"79,00",TRUE,eur,cus_RqiAVUfATcFguH,2025-02-27 7:00,,"0,00",FALSE,TRUE,2025-02-27 7:00,,,2025-02-27 7:00,2025-02-27 7:00,2025-03-27 7:00,2025-02-27 7:00,2025-02-27 7:00,"0,00",sub_1Qx14nAFeGZf0UoOUWrwRJdH,"79,00","0,00",,,20,"79,00","79,00",paid,,
in_1Qx0fGAFeGZf0UoOno0JhSIh,"39,00",TRUE,eur,cus_QekomARqndwD2z,2025-02-27 6:33,,"0,00",FALSE,TRUE,2025-02-27 7:34,,,2025-02-27 7:34,2025-02-27 6:33,2025-03-27 6:33,2025-01-27 6:33,2025-02-27 6:33,"0,00",sub_1PsIyDAFeGZf0UoOpTehHFVG,"39,00","0,00",,,19,"39,00","39,00",paid,,
in_1Qx04PAFeGZf0UoOO743GXFx,"195,00",TRUE,usd,cus_PYkrPUU6Un6cml,2025-02-27 5:55,,"0,00",FALSE,TRUE,2025-02-27 6:56,,,2025-02-27 6:56,2025-02-27 5:54,2025-03-27 5:54,2025-01-27 5:54,2025-02-27 5:54,"0,00",sub_1OoJczAFeGZf0UoO9pdde1Pi,"195,00","0,00",,,,"195,00","195,00",paid,,
in_1QwzmOAFeGZf0UoOn1JcezDS,"78,00",TRUE,eur,cus_NfCBEG48exe8hQ,2025-02-27 5:37,,"0,00",FALSE,TRUE,2025-02-27 6:37,,,2025-02-27 6:37,2025-02-27 5:36,2025-03-27 5:36,2025-01-27 5:36,2025-02-27 5:36,"0,00",sub_1N1NVhAFeGZf0UoOBffXyqwc,"78,00","0,00",,,,"78,00","78,00",paid,,
in_1QwzImAFeGZf0UoOoYDAYNY6,"46,80",TRUE,eur,cus_QBpM2qbyhbJjUH,2025-02-27 5:06,,"0,00",FALSE,TRUE,2025-02-27 6:06,,,2025-02-27 6:06,2025-02-27 5:05,2025-03-27 5:05,2025-01-27 5:05,2025-02-27 5:05,"0,00",sub_1PWAWbAFeGZf0UoOUArx8Tjg,"39,00","0,00",,"7,80",20,"46,80","46,80",paid,"7,80","0,00"
in_1Qwz80AFeGZf0UoO6RxoMYo3,"0,00",TRUE,eur,cus_MOV8NIgBltWvBu,2025-02-27 4:55,,"-8,63",FALSE,TRUE,2025-02-27 5:55,,,2025-02-27 5:55,2025-02-27 4:54,2025-03-27 4:54,2025-01-27 4:54,2025-02-27 4:54,"-8,63",sub_1LmVohAFeGZf0UoOkaE8T2mG,"0,00","0,00",,,,"0,00","0,00",paid,,
in_1Qwz4mAFeGZf0UoOFwNne3Zq,"39,00",FALSE,usd,cus_Qi6gQ5nqLs3uFE,2025-02-27 4:52,,"0,00",FALSE,FALSE,,,,2025-02-27 4:52,2025-02-27 4:51,2025-03-27 4:51,2025-02-27 4:51,2025-02-27 4:51,"0,00",sub_1Qwz4mAFeGZf0UoOTpqd1DAs,"39,00","0,00",,,,"39,00","0,00",open,,
in_1QwyYKAFeGZf0UoOZ4DD4yEi,"0,00",TRUE,usd,cus_On2ngQl7li899E,2025-02-27 4:18,,"-17,63",FALSE,TRUE,2025-02-27 5:18,,,2025-02-27 5:18,2025-02-27 4:17,2025-03-27 4:17,2025-01-27 4:17,2025-02-27 4:17,"-17,63",sub_1O5hUVAFeGZf0UoOvL34OjJp,"0,00","0,00",,,,"0,00","0,00",paid,,
in_1Qwy8fAFeGZf0UoOwZKYMx7u,"39,00",TRUE,usd,cus_Rms94Sf83GgMh8,2025-02-27 3:51,,"0,00",FALSE,TRUE,2025-02-27 3:51,,,2025-02-27 3:51,2025-02-27 3:51,2025-03-27 3:51,2025-02-27 3:51,2025-02-27 3:51,"0,00",sub_1Qwy8fAFeGZf0UoOx9KrFvrc,"39,00","0,00",,,,"39,00","39,00",paid,,
in_1Qww8vAFeGZf0UoOr5ilwxq5,"0,00",TRUE,usd,cus_OezbyQIhKZV1C7,2025-02-27 1:44,,"0,00",FALSE,TRUE,2025-02-27 2:44,,,2025-02-27 2:44,2025-02-27 1:43,2025-03-27 1:43,2025-01-27 1:43,2025-02-27 1:43,"0,00",sub_1NummWAFeGZf0UoOOR35U1OP,"0,00","0,00",,,,"0,00","0,00",paid,,
in_1QwvnZAFeGZf0UoOH8cc23i0,"0,00",TRUE,usd,cus_LjyQkOxaYOST7Q,2025-02-27 1:22,,"-55,71",FALSE,TRUE,2025-02-27 2:22,,,2025-02-27 2:22,2025-02-27 1:21,2025-03-27 1:21,2025-01-27 1:21,2025-02-27 1:21,"-55,71",sub_1L3rs5AFeGZf0UoO3zLW6NOO,"0,00","0,00",,,,"0,00","0,00",paid,,
in_1QwvaOAFeGZf0UoOarSiSYic,"39,00",FALSE,usd,cus_RYwRJI0xt1NHIW,2025-02-27 1:08,,"0,00",FALSE,FALSE,,,,2025-02-27 2:08,2025-02-27 1:07,2025-03-27 1:07,2025-01-27 1:07,2025-02-27 1:07,"0,00",sub_1QlgnqAFeGZf0UoOt8DewYUD,"39,00","0,00",,,,"39,00","0,00",open,,
in_1QwusbAFeGZf0UoObfOmhsBo,"295,80",TRUE,usd,cus_Rjhdh9XSueK75Y,2025-02-27 0:23,,"0,00",FALSE,TRUE,2025-02-27 0:23,,,2025-02-27 0:23,2025-02-27 0:23,2026-02-27 0:23,2025-02-27 0:23,2025-02-27 0:23,"0,00",sub_1QwusbAFeGZf0UoOCtggXmXP,"348,00","52,20",LETSSURFEAGAIN,,,"295,80","295,80",paid,,
in_1QwuepAFeGZf0UoOMtVCDC8B,"33,15",TRUE,usd,cus_QvHh2yNSWO75eX,2025-02-27 0:08,,"0,00",FALSE,TRUE,2025-02-27 1:12,,,2025-02-27 1:12,2025-02-27 0:08,2025-03-27 0:08,2025-01-27 0:08,2025-02-27 0:08,"0,00",sub_1QPYnoAFeGZf0UoOl0Ch0yBN,"39,00","5,85",9U8FXPzO,,,"33,15","33,15",paid,,
in_1QwuBDAFeGZf0UoOD66mSglP,"78,00",TRUE,usd,cus_QjxHYAnt6NzAVG,2025-02-26 23:38,,"0,00",FALSE,TRUE,2025-02-27 0:38,,,2025-02-27 0:38,2025-02-26 23:37,2025-03-26 23:37,2025-01-26 23:37,2025-02-26 23:37,"0,00",sub_1QPYKAAFeGZf0UoOyDfaw4mA,"78,00","0,00",,,,"78,00","78,00",paid,,
in_1QwtgZAFeGZf0UoOKYy2EEuq,"39,00",TRUE,usd,cus_RI72IDLEYY4YJM,2025-02-26 23:06,,"0,00",FALSE,TRUE,2025-02-27 0:08,,,2025-02-27 0:08,2025-02-26 23:06,2025-03-26 23:06,2025-01-26 23:06,2025-02-26 23:06,"0,00",sub_1QPXpUAFeGZf0UoOkX3Il0ba,"39,00","0,00",,,,"39,00","39,00",paid,,
in_1QwtAyAFeGZf0UoOC40wTFDF,"39,00",TRUE,usd,cus_Rey0g9gHJWp2mN,2025-02-26 22:34,,"0,00",FALSE,TRUE,2025-02-26 23:34,,,2025-02-26 23:34,2025-02-26 22:33,2025-03-26 22:33,2025-01-26 22:33,2025-02-26 22:33,"0,00",sub_1QleOtAFeGZf0UoOUy23YgyY,"39,00","0,00",,,21,"39,00","39,00",paid,,
in_1Qwt1ZAFeGZf0UoOsFovTOBd,"39,00",TRUE,usd,cus_Q9ZpNIQTBlUTfE,2025-02-26 22:24,,"0,00",FALSE,TRUE,2025-02-26 22:24,,,2025-02-26 22:24,2025-02-26 22:24,2025-03-26 22:24,2025-02-26 22:24,2025-02-26 22:24,"0,00",sub_1Qwt1ZAFeGZf0UoOEQsmmugp,"39,00","0,00",,,,"39,00","39,00",paid,,
in_1QwsoZAFeGZf0UoOKg8Xyqov,"348,00",TRUE,usd,cus_Hgtp2cnDHmaKZd,2025-02-26 22:10,,"0,00",FALSE,TRUE,2025-02-26 22:10,,,2025-02-26 22:10,2025-02-26 22:10,2026-02-26 22:10,2025-02-26 22:10,2025-02-26 22:10,"0,00",sub_1QwsoZAFeGZf0UoOWYLEJobK,"348,00","0,00",,,,"348,00","348,00",paid,,
in_1QwsfDAFeGZf0UoOyafqa7En,"117,00",TRUE,usd,cus_OWmrpFZEPRkc7W,2025-02-26 22:01,,"0,00",FALSE,TRUE,2025-02-26 23:01,,,2025-02-26 23:01,2025-02-26 22:00,2025-03-26 22:00,2025-01-26 22:00,2025-02-26 22:00,"0,00",sub_1PzYc7AFeGZf0UoO9GpCQceS,"117,00","0,00",,,,"117,00","117,00",paid,,
in_1QwsVeAFeGZf0UoOawkHeujl,"39,00",TRUE,eur,cus_MmWIK3ZoJL4Xhd,2025-02-26 21:51,,"0,00",FALSE,TRUE,2025-02-26 22:51,,,2025-02-26 22:51,2025-02-26 21:50,2025-03-26 21:50,2025-01-26 21:50,2025-02-26 21:50,"0,00",sub_1MUdL4AFeGZf0UoOgYUqFmiT,"39,00","0,00",,,,"39,00","39,00",paid,,
in_1QwsSmAFeGZf0UoOHIkhf6hG,"39,00",TRUE,eur,cus_RGYHk9eOol1LSc,2025-02-26 21:48,,"0,00",FALSE,TRUE,2025-02-26 22:48,,,2025-02-26 22:48,2025-02-26 21:48,2025-03-26 21:48,2025-01-26 21:48,2025-02-26 21:48,"0,00",sub_1QPWc7AFeGZf0UoO0HXdUAdA,"39,00","0,00",,,,"39,00","39,00",paid,,
in_1QwsLGAFeGZf0UoOhNTuEIZi,"195,00",TRUE,usd,cus_JquvPrctfA038z,2025-02-26 21:40,,"0,00",FALSE,TRUE,2025-02-26 22:40,,,2025-02-26 22:40,2025-02-26 21:39,2025-03-26 21:39,2025-01-26 21:39,2025-02-26 21:39,"0,00",sub_JvSRCzUfTbWq3k,"195,00","0,00",,,,"195,00","195,00",paid,,
in_1QwsHKAFeGZf0UoOk49KqIzQ,"0,00",TRUE,usd,cus_PThze9jsjEYXHS,2025-02-26 21:36,,"0,00",FALSE,TRUE,2025-02-26 22:36,,,2025-02-26 22:36,2025-02-26 21:36,2025-03-26 21:36,2025-01-26 21:36,2025-02-26 21:36,"0,00",sub_1OoBqNAFeGZf0UoOSceBvTLr,"0,00","0,00",,,,"0,00","0,00",paid,,
in_1QwrKKAFeGZf0UoOhKHZDUXh,"158,00",TRUE,eur,cus_OnfqG24gOxKGuN,2025-02-26 20:35,,"0,00",FALSE,TRUE,2025-02-26 21:36,,,2025-02-26 21:36,2025-02-26 20:34,2025-03-26 20:34,2025-01-26 20:34,2025-02-26 20:34,"0,00",sub_1OyghlAFeGZf0UoOiFNXPW5c,"158,00","0,00",,,,"158,00","158,00",paid,,
in_1QwrDFAFeGZf0UoO341cUnmN,"296,40",TRUE,usd,cus_PVdPFGa7V3RK3o,2025-02-26 20:28,,"0,00",FALSE,TRUE,2025-02-26 21:28,,,2025-02-26 21:28,2025-02-26 20:28,2025-03-26 20:28,2025-01-26 20:28,2025-02-26 20:28,"0,00",sub_1OygbOAFeGZf0UoOGaDk6yHD,"312,00","15,60",5SURFE12,,,"296,40","296,40",paid,,
in_1Qwr3dAFeGZf0UoO0Dcwl8SP,"276,00",TRUE,usd,cus_OusVfK6AOnfLNV,2025-02-26 20:18,,"0,00",FALSE,TRUE,2025-02-26 21:18,,,2025-02-26 21:18,2025-02-26 20:17,2026-02-26 20:17,2024-02-26 20:17,2025-02-26 20:17,"0,00",sub_1OoAcSAFeGZf0UoOi3T28D9H,"276,00","0,00",,,,"276,00","276,00",paid,,
in_1QwqlZAFeGZf0UoO0zJtomug,"39,00",TRUE,usd,cus_Rq1k1wcT2CdIyq,2025-02-26 19:59,,"0,00",FALSE,TRUE,2025-02-26 20:00,,,2025-02-26 19:59,2025-02-26 19:59,2025-03-26 19:59,2025-02-26 19:59,2025-02-26 19:59,"0,00",sub_1QwqlZAFeGZf0UoOJiSqM3Ia,"39,00","0,00",,,25,"39,00","39,00",paid,,
in_1QwqTzAFeGZf0UoOiFdBJpmP,"0,00",TRUE,usd,cus_MbmmzHzfeLAp35,2025-02-26 19:41,,"0,00",FALSE,TRUE,2025-02-26 20:41,,,2025-02-26 20:41,2025-02-26 19:41,2025-03-26 19:41,2025-01-26 19:41,2025-02-26 19:41,"0,00",sub_1Lwze7AFeGZf0UoOV5doFJkP,"0,00","0,00",,,,"0,00","0,00",paid,,
in_1QwqKuAFeGZf0UoOPYrrQ7lj,"0,00",TRUE,usd,cus_LgWuWsYsRrNkLa,2025-02-26 19:32,,"-17,37",FALSE,TRUE,2025-02-26 20:32,,,2025-02-26 20:32,2025-02-26 19:31,2025-03-26 19:31,2025-01-26 19:31,2025-02-26 19:31,"-17,37",sub_1L3mPFAFeGZf0UoOdJ1CUdbK,"0,00","0,00",PAUL-LJ10,,,"0,00","0,00",paid,,
in_1QwqF1AFeGZf0UoO1FIRQ481,"39,00",TRUE,usd,cus_R7vYl2RkMXVvvR,2025-02-26 19:25,,"0,00",FALSE,TRUE,2025-02-26 19:25,,,2025-02-26 19:25,2025-02-26 19:25,2025-03-26 19:25,2025-02-26 19:25,2025-02-26 19:25,"0,00",sub_1QwqF1AFeGZf0UoOeU2E4ukL,"39,00","0,00",,,,"39,00","39,00",paid,,
in_1QwqBmAFeGZf0UoOxdwMsz3b,"18,13",TRUE,usd,cus_L4p4VemAAgMjLP,2025-02-26 19:22,,"0,00",FALSE,TRUE,2025-02-26 19:22,,,2025-02-26 19:22,2025-02-26 19:22,2025-03-11 19:46,2025-02-11 19:46,2025-02-26 19:22,"0,00",sub_1QrPPCAFeGZf0UoOD1iFfN2u,"18,13","0,00",,,,"18,13","18,13",paid,,
in_1QwpvSAFeGZf0UoOfic1PSjC,"395,00",TRUE,usd,cus_IjbKtdFLB2JlOH,2025-02-26 19:05,,"0,00",FALSE,TRUE,2025-02-26 20:06,,,2025-02-26 20:06,2025-02-26 19:04,2025-03-26 19:04,2025-01-26 19:04,2025-02-26 19:04,"0,00",sub_Ipc4tZTvaNTj0Q,"395,00","0,00",,,,"395,00","395,00",paid,,
